"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"NutritionOrder","NutritionOrder","","Nutrition Order
Diet OrderDietNutritional SupplementEnteral Nutrition","",0,*,"","","","null {[]} {[]}
","Diet, formula or nutritional supplement request","A request to supply a diet, formula feeding (enteral) or oral nutritional supplement to a patient/resident.","Referenced by an Order Request (workflow).","","","","","","","","",,,,,"",,,,"NutritionOrder",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}nor-1:Nutrition Order SHALL contain either Oral Diet , Supplement, or Enteral Formula class {oralDiet.exists() or supplement.exists() or enteralFormula.exists()}","Request","ORC / ODS","Entity. Role, or Act","SupplyRequest"
"NutritionOrder.id","NutritionOrder.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"NutritionOrder.supplement.schedule.modifierExtension","NutritionOrder.supplement.schedule.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"NutritionOrder.supplement.schedule.event","NutritionOrder.supplement.schedule.event","","","",0,*,"","","Y","dateTime {[]} {[]}
","When the event occurs","Identifies specific times when the event occurs.","","In a Medication Administration Record, for instance, you need to take a general specification, and turn it into a precise specification.","","","","","","","",,,,,"",,,,"Timing.event",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QLIST<TS>"
"NutritionOrder.supplement.schedule.repeat","NutritionOrder.supplement.schedule.repeat","","","",0,1,"","","Y","Element {[]} {[]}
","When the event is to occur","A set of rules that describe when the event is scheduled.","","Many timing schedules are determined by regular repetitions.","","","","","","","",,,,,"",,,,"Timing.repeat",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
tim-1:if there's a duration, there needs to be duration units {duration.empty() or durationUnit.exists()}tim-2:if there's a period, there needs to be period units {period.empty() or periodUnit.exists()}tim-4:duration SHALL be a non-negative value {duration.exists() implies duration >= 0}tim-5:period SHALL be a non-negative value {period.exists() implies period >= 0}tim-6:If there's a periodMax, there must be a period {periodMax.empty() or period.exists()}tim-7:If there's a durationMax, there must be a duration {durationMax.empty() or duration.exists()}tim-8:If there's a countMax, there must be a count {countMax.empty() or count.exists()}tim-9:If there's an offset, there must be a when (and not C, CM, CD, CV) {offset.empty() or (when.exists() and ((when in ('C' | 'CM' | 'CD' | 'CV')).not()))}tim-10:If there's a timeOfDay, there cannot be a when, or vice versa {timeOfDay.empty() or when.empty()}","Implies PIVL or EIVL"
"NutritionOrder.supplement.schedule.repeat.id","NutritionOrder.supplement.schedule.repeat.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"NutritionOrder.supplement.schedule.repeat.extension","NutritionOrder.supplement.schedule.repeat.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"NutritionOrder.supplement.schedule.repeat.bounds[x]","NutritionOrder.supplement.schedule.repeat.bounds[x]","","","",0,1,"","","Y","Duration {[]} {[]}
Range {[]} {[]}Period {[]} {[]}","Length/Range of lengths, or (Start and/or end) limits","Either a duration for the length of the timing schedule, a range of possible length, or outer bounds for start and/or end limits of the timing schedule.","","","","","","","","","",,,,,"",,,,"Timing.repeat.bounds[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","IVL(TS) used in a QSI"
"NutritionOrder.supplement.schedule.repeat.count","NutritionOrder.supplement.schedule.repeat.count","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Number of times to repeat","A total count of the desired number of repetitions across the duration of the entire timing specification. If countMax is present, this element indicates the lower bound of the allowed range of count values.","If you have both bounds and count, then this should be understood as within the bounds period, until count times happens.","Repetitions may be limited by end time or total occurrences.","","","","","","","",,,,,"",,,,"Timing.repeat.count",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.count"
"NutritionOrder.supplement.schedule.repeat.countMax","NutritionOrder.supplement.schedule.repeat.countMax","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Maximum number of times to repeat","If present, indicates that the count is a range - so to perform the action between [count] and [countMax] times.","","","","","","","","","",,,,,"",,,,"Timing.repeat.countMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.count"
"NutritionOrder.supplement.schedule.repeat.duration","NutritionOrder.supplement.schedule.repeat.duration","","","",0,1,"","","Y","decimal {[]} {[]}
","How long when it happens","How long this thing happens for when it happens. If durationMax is present, this element indicates the lower bound of the allowed range of the duration.","For some events the duration is part of the definition of the event (e.g. IV infusions, where the duration is implicit in the specified quantity and rate). For others, it's part of the timing specification (e.g. exercise).","Some activities are not instantaneous and need to be maintained for a period of time.","","","","","","","",,,,,"",,,,"Timing.repeat.duration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"NutritionOrder.supplement.schedule.repeat.durationMax","NutritionOrder.supplement.schedule.repeat.durationMax","","","",0,1,"","","Y","decimal {[]} {[]}
","How long when it happens (Max)","If present, indicates that the duration is a range - so to perform the action between [duration] and [durationMax] time length.","For some events the duration is part of the definition of the event (e.g. IV infusions, where the duration is implicit in the specified quantity and rate). For others, it's part of the timing specification (e.g. exercise).","Some activities are not instantaneous and need to be maintained for a period of time.","","","","","","","",,,,,"",,,,"Timing.repeat.durationMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"NutritionOrder.supplement.schedule.repeat.durationUnit","NutritionOrder.supplement.schedule.repeat.durationUnit","","","",0,1,"","","Y","code {[]} {[]}
","s | min | h | d | wk | mo | a - unit of time (UCUM)","The units of time for the duration, in UCUM units.","","","","","","","","","",,"required","A unit of time (units from UCUM).","http://hl7.org/fhir/ValueSet/units-of-time|4.0.1","",,,,"Timing.repeat.durationUnit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase.unit"
"NutritionOrder.supplement.schedule.repeat.frequency","NutritionOrder.supplement.schedule.repeat.frequency","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Event occurs frequency times per period","The number of times to repeat the action within the specified period. If frequencyMax is present, this element indicates the lower bound of the allowed range of the frequency.","","","","If no frequency is stated, the assumption is that the event occurs once per period, but systems SHOULD always be specific about this","","","","","",,,,,"",,,,"Timing.repeat.frequency",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"NutritionOrder.supplement.schedule.repeat.frequencyMax","NutritionOrder.supplement.schedule.repeat.frequencyMax","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Event occurs up to frequencyMax times per period","If present, indicates that the frequency is a range - so to repeat between [frequency] and [frequencyMax] times within the period or period range.","","","","","","","","","",,,,,"",,,,"Timing.repeat.frequencyMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"NutritionOrder.supplement.schedule.repeat.period","NutritionOrder.supplement.schedule.repeat.period","","","",0,1,"","","Y","decimal {[]} {[]}
","Event occurs frequency times per period","Indicates the duration of time over which repetitions are to occur; e.g. to express ""3 times per day"", 3 would be the frequency and ""1 day"" would be the period. If periodMax is present, this element indicates the lower bound of the allowed range of the period length.","","","","","","","","","",,,,,"",,,,"Timing.repeat.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"NutritionOrder.supplement.schedule.repeat.periodMax","NutritionOrder.supplement.schedule.repeat.periodMax","","","",0,1,"","","Y","decimal {[]} {[]}
","Upper limit of period (3-4 hours)","If present, indicates that the period is a range from [period] to [periodMax], allowing expressing concepts such as ""do this once every 3-5 days.","","","","","","","","","",,,,,"",,,,"Timing.repeat.periodMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"NutritionOrder.supplement.schedule.repeat.periodUnit","NutritionOrder.supplement.schedule.repeat.periodUnit","","","",0,1,"","","Y","code {[]} {[]}
","s | min | h | d | wk | mo | a - unit of time (UCUM)","The units of time for the period in UCUM units.","","","","","","","","","",,"required","A unit of time (units from UCUM).","http://hl7.org/fhir/ValueSet/units-of-time|4.0.1","",,,,"Timing.repeat.periodUnit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase.unit"
"NutritionOrder.supplement.schedule.repeat.dayOfWeek","NutritionOrder.supplement.schedule.repeat.dayOfWeek","","","",0,*,"","","Y","code {[]} {[]}
","mon | tue | wed | thu | fri | sat | sun","If one or more days of week is provided, then the action happens only on the specified day(s).","If no days are specified, the action is assumed to happen every day as otherwise specified. The elements frequency and period cannot be used as well as dayOfWeek.","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/days-of-week|4.0.1","",,,,"Timing.repeat.dayOfWeek",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"NutritionOrder.supplement.schedule.repeat.timeOfDay","NutritionOrder.supplement.schedule.repeat.timeOfDay","","","",0,*,"","","Y","time {[]} {[]}
","Time of day for action","Specified time of day for action to take place.","When time of day is specified, it is inferred that the action happens every day (as filtered by dayofWeek) on the specified times. The elements when, frequency and period cannot be used as well as timeOfDay.","","","","","","","","",,,,,"",,,,"Timing.repeat.timeOfDay",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"NutritionOrder.supplement.schedule.repeat.when","NutritionOrder.supplement.schedule.repeat.when","","","",0,*,"","","Y","code {[]} {[]}
","Code for time period of occurrence","An approximate time period during the day, potentially linked to an event of daily living that indicates when the action should occur.","When more than one event is listed, the event is tied to the union of the specified events.","Timings are frequently determined by occurrences such as waking, eating and sleep.","","","","","","","",,"required","Real world event relating to the schedule.","http://hl7.org/fhir/ValueSet/event-timing|4.0.1","",,,,"Timing.repeat.when",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","EIVL.event"
"NutritionOrder.supplement.schedule.repeat.offset","NutritionOrder.supplement.schedule.repeat.offset","","","",0,1,"","","Y","unsignedInt {[]} {[]}
","Minutes from event (before or after)","The number of minutes from the event. If the event code does not indicate whether the minutes is before or after the event, then the offset is assumed to be after the event.","","","","","","","","","",,,,,"",,,,"Timing.repeat.offset",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","EIVL.offset"
"NutritionOrder.supplement.schedule.code","NutritionOrder.supplement.schedule.code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","BID | TID | QID | AM | PM | QD | QOD | +","A code for the timing schedule (or just text in code.text). Some codes such as BID are ubiquitous, but many institutions define their own additional codes. If a code is provided, the code is understood to be a complete statement of whatever is specified in the structured timing data, and either the code or the data may be used to interpret the Timing, with the exception that .repeat.bounds still applies over the code (and is not contained in the code).","BID etc. are defined as 'at institutionally specified times'. For example, an institution may choose that BID is ""always at 7am and 6pm"".  If it is inappropriate for this choice to be made, the code BID should not be used. Instead, a distinct organization-specific code should be used in place of the HL7-defined BID code and/or a structured representation should be used (in this case, specifying the two event times).","","","","","","","","",,"preferred","Code for a known / defined timing pattern.","http://hl7.org/fhir/ValueSet/timing-abbreviation|4.0.1","",,,,"Timing.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QSC.code"
"NutritionOrder.supplement.quantity","NutritionOrder.supplement.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity|4.0.1]]} {[]}
","Amount of the nutritional supplement","The amount of the nutritional supplement to be given.","","","","","","","","","",,,,,"",,,,"NutritionOrder.supplement.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","TQ1-2",".quantity"
"NutritionOrder.supplement.instruction","NutritionOrder.supplement.instruction","","","",0,1,"","","Y","string {[]} {[]}
","Instructions or additional information about the oral supplement","Free text or additional instructions or information pertaining to the oral supplement.","Free text dosage instructions can be used for cases where the instructions are too complex to code.","","","","","","","","",,,,,"",,,,"NutritionOrder.supplement.instruction",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.supportingInfo","ODS-4",".text"
"NutritionOrder.enteralFormula","NutritionOrder.enteralFormula","","","",0,1,"","","","BackboneElement {[]} {[]}
","Enteral formula components","Feeding provided through the gastrointestinal tract via a tube, catheter, or stoma that delivers nutrition distal to the oral cavity.","","","","","","","","","",,,,,"",,,,"NutritionOrder.enteralFormula",0,1,"nor-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","ODS-1 Value coded for enteral",".outboundRelationship [typeCode =COMP], target [classCode=SPLY, moodCode=RQO, code=FORMULA]"
"NutritionOrder.enteralFormula.id","NutritionOrder.enteralFormula.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"NutritionOrder.enteralFormula.extension","NutritionOrder.enteralFormula.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"NutritionOrder.enteralFormula.modifierExtension","NutritionOrder.enteralFormula.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"NutritionOrder.enteralFormula.baseFormulaType","NutritionOrder.enteralFormula.baseFormulaType","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Type of enteral or infant formula","The type of enteral or infant formula such as an adult standard formula with fiber or a soy-based infant formula.","","","","","","","","","",,"example","Codes for type of enteral formula to be administered to patient.","http://hl7.org/fhir/ValueSet/entformula-type|4.0.1","",,,,"NutritionOrder.enteralFormula.baseFormulaType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.code","ODS-3",".participation[typeCode=PRD].role[classCode=MANU], manufacturedFoodKind; .code (NutritionalFormulaType)","FiveWs.what[x]"
"NutritionOrder.enteralFormula.baseFormulaType.id","NutritionOrder.enteralFormula.baseFormulaType.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"NutritionOrder.enteralFormula.baseFormulaType.extension","NutritionOrder.enteralFormula.baseFormulaType.extension","","","",1,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NutritionOrder.enteralFormula.baseFormulaType.extension","NutritionOrder.enteralFormula.baseFormulaType.extension","","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-NutritionOrder.enteralFormula.baseFormulaType|0.0.1-snapshot-3]]} {[]}
","Cross-version extension for NutritionOrder.enteralFormula.baseFormulaType from R5 for use in FHIR R4","The type of enteral or infant formula such as an adult standard formula with fiber or a soy-based infant formula.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NutritionOrder.enteralFormula.baseFormulaType.coding","NutritionOrder.enteralFormula.baseFormulaType.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.1-8, C*E.10-22","union(., ./translation)"
"NutritionOrder.enteralFormula.baseFormulaType.text","NutritionOrder.enteralFormula.baseFormulaType.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.9. But note many systems use C*E.2 for this","./originalText[mediaType/code=""text/plain""]/data"
"NutritionOrder.enteralFormula.baseFormulaProductName","NutritionOrder.enteralFormula.baseFormulaProductName","","","",0,1,"","","","string {[]} {[]}
","Product or brand name of the enteral or infant formula","The product or brand name of the enteral or infant formula product such as ""ACME Adult Standard Formula"".","","","","","","","","","",,,,,"",,,,"NutritionOrder.enteralFormula.baseFormulaProductName",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","ODS-4",".id"
"NutritionOrder.enteralFormula.additiveType","NutritionOrder.enteralFormula.additiveType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of modular component to add to the feeding","Indicates the type of modular component such as protein, carbohydrate, fat or fiber to be provided in addition to or mixed with the base formula.","","","","","","","","","",,"example","Codes for the type of modular component such as protein, carbohydrate or fiber to be provided in addition to or mixed with the base formula.","http://hl7.org/fhir/ValueSet/entformula-additive|4.0.1","",,,,"NutritionOrder.enteralFormula.additiveType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.code","ODS-3","N/A (not differentiated from NutritionalFormulaType in HL7 v3)","FiveWs.what[x]"
"NutritionOrder.enteralFormula.additiveType.id","NutritionOrder.enteralFormula.additiveType.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"NutritionOrder.enteralFormula.additiveType.extension","NutritionOrder.enteralFormula.additiveType.extension","","","",1,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NutritionOrder.enteralFormula.additiveType.extension","NutritionOrder.enteralFormula.additiveType.extension","","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-NutritionOrder.enteralFormula.additive.type|0.0.1-snapshot-3]]} {[]}
","Cross-version extension for NutritionOrder.enteralFormula.additive.type from R5 for use in FHIR R4","Indicates the type of modular component such as protein, carbohydrate, fat or fiber to be provided in addition to or mixed with the base formula.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NutritionOrder.enteralFormula.additiveType.coding","NutritionOrder.enteralFormula.additiveType.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.1-8, C*E.10-22","union(., ./translation)"
"NutritionOrder.enteralFormula.additiveType.text","NutritionOrder.enteralFormula.additiveType.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.9. But note many systems use C*E.2 for this","./originalText[mediaType/code=""text/plain""]/data"
"NutritionOrder.enteralFormula.additiveProductName","NutritionOrder.enteralFormula.additiveProductName","","","",0,1,"","","","string {[]} {[]}
","Product or brand name of the modular additive","The product or brand name of the type of modular component to be added to the formula.","","","","","","","","","",,,,,"",,,,"NutritionOrder.enteralFormula.additiveProductName",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","ODS-4","N/A"
"NutritionOrder.enteralFormula.caloricDensity","NutritionOrder.enteralFormula.caloricDensity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity|4.0.1]]} {[]}
","Amount of energy per specified volume that is required","The amount of energy (calories) that the formula should provide per specified volume, typically per mL or fluid oz.  For example, an infant may require a formula that provides 24 calories per fluid ounce or an adult may require an enteral formula that provides 1.5 calorie/mL.","","","","","","","","","",,,,,"",,,,"NutritionOrder.enteralFormula.caloricDensity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","TQ1-2",".quantity (caloricDensity)"
"NutritionOrder.enteralFormula.routeofAdministration","NutritionOrder.enteralFormula.routeofAdministration","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How the formula should enter the patient's gastrointestinal tract","The route or physiological path of administration into the patient's gastrointestinal  tract for purposes of providing the formula feeding, e.g. nasogastric tube.","","","","","","","","","",,"extensible","Codes specifying the route of administration of enteral formula.","http://hl7.org/fhir/ValueSet/enteral-route|4.0.1","",,,,"NutritionOrder.enteralFormula.routeofAdministration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","ODS-4",".routeCode"
