"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SubstanceSpecification","SubstanceSpecification","","","",0,*,"","","","null {[]} {[]}
"SubstanceSpecification.name.modifierExtension","SubstanceSpecification.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.name.name","SubstanceSpecification.name.name","","","",1,1,"","","Y","string {[]} {[]}
","The actual name","The actual name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.name",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.type","SubstanceSpecification.name.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Name type","Name type.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.status","SubstanceSpecification.name.status","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The status of the name","The status of the name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.preferred","SubstanceSpecification.name.preferred","","","",0,1,"","","Y","boolean {[]} {[]}
","If this is the preferred name for this substance","If this is the preferred name for this substance.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.preferred",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.language","SubstanceSpecification.name.language","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Language of the name","Language of the name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.language",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.domain","SubstanceSpecification.name.domain","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The use context of this name for example if there is a different name a drug active ingredient as opposed to a food colour additive","The use context of this name for example if there is a different name a drug active ingredient as opposed to a food colour additive.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.domain",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.jurisdiction","SubstanceSpecification.name.jurisdiction","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The jurisdiction where this name applies","The jurisdiction where this name applies.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.jurisdiction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.synonym","SubstanceSpecification.name.synonym","","","",0,*,"","","Y","null {[]} {[]}
","A synonym of this name","A synonym of this name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.synonym",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.translation","SubstanceSpecification.name.translation","","","",0,*,"","","Y","null {[]} {[]}
","A translation for this name","A translation for this name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.translation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.official","SubstanceSpecification.name.official","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Details of the official nature of this name","Details of the official nature of this name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.official",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.official.id","SubstanceSpecification.name.official.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.name.official.extension","SubstanceSpecification.name.official.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SubstanceSpecification.name.official.modifierExtension","SubstanceSpecification.name.official.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.name.official.authority","SubstanceSpecification.name.official.authority","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Which authority uses this official name","Which authority uses this official name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.official.authority",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.official.status","SubstanceSpecification.name.official.status","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The status of the official name","The status of the official name.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.official.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.official.date","SubstanceSpecification.name.official.date","","","",0,1,"","","Y","dateTime {[]} {[]}
","Date of official name change","Date of official name change.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.official.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.source","SubstanceSpecification.name.source","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference|4.0.1]]}
","Supporting literature","Supporting literature.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name.source",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.molecularWeight","SubstanceSpecification.molecularWeight","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","The molecular weight or weight range (for proteins, polymers or nucleic acids)","The molecular weight or weight range (for proteins, polymers or nucleic acids).","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.molecularWeight",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.molecularWeight.id","SubstanceSpecification.molecularWeight.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.molecularWeight.extension","SubstanceSpecification.molecularWeight.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.molecularWeight.extension:molecularWeight","SubstanceSpecification.molecularWeight.extension","molecularWeight","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-SubstanceDefinition.molecularWeight]]} {[]}
","Cross-version extension for SubstanceDefinition.molecularWeight from R5 for use in FHIR R4","The average mass of a molecule of a compound compared to 1/12 the mass of carbon 12 and calculated as the sum of the atomic weights of the constituent atoms.","Element `SubstanceDefinition.molecularWeight` has is mapped to FHIR R4 element `SubstanceSpecification.molecularWeight`, but has no comparisons.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.molecularWeight.modifierExtension","SubstanceSpecification.molecularWeight.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.molecularWeight.method","SubstanceSpecification.molecularWeight.method","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The method by which the molecular weight was determined","The method by which the molecular weight was determined.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.molecularWeight.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.molecularWeight.type","SubstanceSpecification.molecularWeight.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Type of molecular weight such as exact, average (also known as. number average), weight average","Type of molecular weight such as exact, average (also known as. number average), weight average.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.molecularWeight.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.molecularWeight.amount","SubstanceSpecification.molecularWeight.amount","","","",0,1,"","","Y","Quantity {[]} {[]}
","Used to capture quantitative values for a variety of elements. If only limits are given, the arithmetic mean would be the average. If only a single definite value for a given element is given, it would be captured in this field","Used to capture quantitative values for a variety of elements. If only limits are given, the arithmetic mean would be the average. If only a single definite value for a given element is given, it would be captured in this field.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.molecularWeight.amount",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship","SubstanceSpecification.relationship","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","A link between this substance and another, with details of the relationship","A link between this substance and another, with details of the relationship.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship.id","SubstanceSpecification.relationship.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.relationship.extension","SubstanceSpecification.relationship.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.relationship.extension:relationship","SubstanceSpecification.relationship.extension","relationship","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-SubstanceDefinition.relationship]]} {[]}
","Cross-version extension for SubstanceDefinition.relationship from R5 for use in FHIR R4","A link between this substance and another, with details of the relationship.","Element `SubstanceDefinition.relationship` has is mapped to FHIR R4 element `SubstanceSpecification.relationship`, but has no comparisons.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.relationship.modifierExtension","SubstanceSpecification.relationship.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.relationship.substance[x]","SubstanceSpecification.relationship.substance[x]","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceSpecification|4.0.1]]}
CodeableConcept {[]} {[]}","A pointer to another substance, as a resource or just a representational code","A pointer to another substance, as a resource or just a representational code.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship.substance[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship.relationship","SubstanceSpecification.relationship.relationship","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","For example ""salt to parent"", ""active moiety"", ""starting material""","For example ""salt to parent"", ""active moiety"", ""starting material"".","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship.relationship",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship.isDefining","SubstanceSpecification.relationship.isDefining","","","",0,1,"","","Y","boolean {[]} {[]}
","For example where an enzyme strongly bonds with a particular substance, this is a defining relationship for that enzyme, out of several possible substance relationships","For example where an enzyme strongly bonds with a particular substance, this is a defining relationship for that enzyme, out of several possible substance relationships.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship.isDefining",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship.amount[x]","SubstanceSpecification.relationship.amount[x]","","","",0,1,"","","Y","Quantity {[]} {[]}
Range {[]} {[]}Ratio {[]} {[]}string {[]} {[]}","A numeric factor for the relationship, for instance to express that the salt of a substance has some percentage of the active substance in relation to some other","A numeric factor for the relationship, for instance to express that the salt of a substance has some percentage of the active substance in relation to some other.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship.amount[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship.amountRatioLowLimit","SubstanceSpecification.relationship.amountRatioLowLimit","","","",0,1,"","","Y","Ratio {[]} {[]}
","For use when the numeric","For use when the numeric.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship.amountRatioLowLimit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship.amountType","SubstanceSpecification.relationship.amountType","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","An operator for the amount, for example ""average"", ""approximately"", ""less than""","An operator for the amount, for example ""average"", ""approximately"", ""less than"".","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship.amountType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.relationship.source","SubstanceSpecification.relationship.source","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference|4.0.1]]}
","Supporting literature","Supporting literature.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.relationship.source",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.nucleicAcid","SubstanceSpecification.nucleicAcid","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceNucleicAcid|4.0.1]]}
","Data items specific to nucleic acids","Data items specific to nucleic acids.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.nucleicAcid",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.polymer","SubstanceSpecification.polymer","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstancePolymer|4.0.1]]}
","Data items specific to polymers","Data items specific to polymers.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.polymer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.protein","SubstanceSpecification.protein","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceProtein|4.0.1]]}
","Data items specific to proteins","Data items specific to proteins.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.protein",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.sourceMaterial","SubstanceSpecification.sourceMaterial","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceSourceMaterial|4.0.1]]}
","Material or taxonomic/anatomical source for the substance","Material or taxonomic/anatomical source for the substance.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.sourceMaterial",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.sourceMaterial.id","SubstanceSpecification.sourceMaterial.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.sourceMaterial.extension","SubstanceSpecification.sourceMaterial.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.sourceMaterial.extension:sourceMaterial","SubstanceSpecification.sourceMaterial.extension","sourceMaterial","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-SubstanceDefinition.sourceMaterial]]} {[]}
","Cross-version extension for SubstanceDefinition.sourceMaterial from R5 for use in FHIR R4","Material or taxonomic/anatomical source for the substance.","Element `SubstanceDefinition.sourceMaterial` has is mapped to FHIR R4 element `SubstanceSpecification.sourceMaterial`, but has no comparisons.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.sourceMaterial.reference","SubstanceSpecification.sourceMaterial.reference","","","",0,1,"","","Y","string {[]} {[]}
","Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"SubstanceSpecification.sourceMaterial.type","SubstanceSpecification.sourceMaterial.type","","","",0,1,"","","Y","uri {[]} {[]}
","Type the reference refers to (e.g. ""Patient"")","The expected type of the target of the reference. If both Reference.type and Reference.reference are populated and Reference.reference is a FHIR URL, both SHALL be consistent.

The type is the Canonical URL of Resource Definition that is the type this reference refers to. References are URLs that are relative to http://hl7.org/fhir/StructureDefinition/ e.g. ""Patient"" is a reference to http://hl7.org/fhir/StructureDefinition/Patient. Absolute URLs are only allowed for logical models (and can only be used in references in logical models, not resources).","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a RESTful URL) or by resolving the target of the reference; if both the type and a reference is provided, the reference SHALL resolve to a resource of the same type as that specified.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types|4.0.1","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"SubstanceSpecification.sourceMaterial.identifier","SubstanceSpecification.sourceMaterial.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Logical reference, when literal reference is not known","An identifier for the target resource. This is used when there is no way to reference the other resource directly, either because the entity it represents is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".identifier"
"SubstanceSpecification.sourceMaterial.display","SubstanceSpecification.sourceMaterial.display","","","",0,1,"","","Y","string {[]} {[]}
","Text alternative for the resource","Plain text narrative that identifies the resource in addition to the resource reference.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
